parameter,mean,std
main_deflector_parameters_theta_E,1.097402000595439,0.1456307060065556
main_deflector_parameters_gamma1,0.00022861712940422008,0.05002240474048529
main_deflector_parameters_gamma2,-0.0006213485223369442,0.05231214293992228
main_deflector_parameters_gamma,2.003655495683618,0.09696200840852524
main_deflector_parameters_e1,-0.002302327234764638,0.10008067970069358
main_deflector_parameters_e2,-0.0004024008532622301,0.10425205704407302
main_deflector_parameters_center_x,-0.0020196575403838672,0.16201937304043978
main_deflector_parameters_center_y,-0.006093433601331951,0.15752821680064868
subhalo_parameters_sigma_sub,0.0019889922131313075,0.0010777740331090635
